FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
British_Columbia	Manitoba	5.302040544129552	0.5539384512831907
British_Columbia	New_Brunswick	0.41458126190040817	0.08850868422027182
British_Columbia	Nova_Scotia	0.25218091012310495	0.05577158093545161
British_Columbia	Ontario	4.057036054673102	0.48724215827870976
British_Columbia	Saskatchewan	6400.681795634329	0.9993334073991779
Manitoba	British_Columbia	0.6943027461110254	0.13987334740584378
Manitoba	New_Brunswick	0.3738321350600858	0.08050957301040625
Manitoba	Nova_Scotia	2807.660340957405	0.9984816501870163
Manitoba	Ontario	0.40982836556180313	0.08758286116357442
Manitoba	Saskatchewan	16.288481754913473	0.7923193719216384
New_Brunswick	British_Columbia	0.7365478174627929	0.14713180017035143
New_Brunswick	Manitoba	0.6241408534451108	0.12754138429063439
New_Brunswick	Nova_Scotia	115284.85370485521	1.0
New_Brunswick	Ontario	0.4577958239766327	0.09684109173054846
New_Brunswick	Saskatchewan	0.337096673198465	0.07317705440136281
Nova_Scotia	British_Columbia	1.4840313256927489	0.25793430359589675
Nova_Scotia	Manitoba	0.7643069407788836	0.15183498129837425
Nova_Scotia	New_Brunswick	1.0721703565978475	0.20071843869199718
Nova_Scotia	Ontario	1.4036258071606316	0.24741695367181424
Nova_Scotia	Saskatchewan	0.8787217054460611	0.1706847387327334
Ontario	British_Columbia	32.59943017468569	0.8841980520682887
Ontario	Manitoba	12805.633084408513	0.999666703699589
Ontario	New_Brunswick	3489.340300737995	0.9987779135651594
Ontario	Nova_Scotia	0.44754475753213335	0.09487834685034996
Ontario	Saskatchewan	0.9071546642584012	0.17523978817168462
Saskatchewan	British_Columbia	3.251488217741702	0.43232233455541974
Saskatchewan	Manitoba	1.2170686667754578	0.221827204384698
Saskatchewan	New_Brunswick	0.9936487567270019	0.1887938377217346
Saskatchewan	Nova_Scotia	0.9150696719153388	0.1764989075287931
Saskatchewan	Ontario	1.7211082235616821	0.2873014109543384
