Variable	ESS	Mean	SD	Median	HPDLo	HPDHi
posterior	490.593183094366	-2578.7187694163	52.5503955176603	-2576.46790521789	-2680.77356779274	-2475.99519736794
likelihood	623.56301462627	-4429.13943576689	15.5174817806256	-4428.40821500224	-4460.07276049265	-4399.6289422369
prior	491.015577450762	1850.42066635059	52.8176851026793	1852.89403707414	1745.62945929929	1953.18838287059
treeLikelihood	623.563014626271	-4429.13943576689	15.5174817806256	-4428.40821500224	-4460.07276049265	-4399.6289422369
Tree.height	5770.90967355091	0.348656563576742	0.0131704676411474	0.346345886001887	0.328767633088252	0.373371715640327
Tree.treeLength	511.368699318712	15.9204776506724	1.24008532985693	15.797813037643	13.5954317438194	18.3480034551893
clockRate	1042.90062901275	0.00857448949244283	0.00079347779600841	0.00862238063268646	0.00718923626817848	0.01
gammaShape	13046.3421573671	0.21720730857895	0.0806154229267254	0.202362946729638	0.1	0.368032348332838
rateAC	12566.2084781984	0.192772931587459	0.0523196658826151	0.186896238764428	0.100128004591041	0.298363916683217
rateAG	8723.25532102868	1.09257717059798	0.193089736455721	1.07534554521379	0.725206482148375	1.46781165097218
rateAT	8597.4188497744	0.0590141380830547	0.0242348968143491	0.0556872264712838	0.0166522631585495	0.106897072503569
rateCG	5702.58310849563	0.0130027970889168	0.0151541986190184	0.00809593606976259	1.12729073202442e-57	0.0428284714084619
rateGT	15064.826463449	0.077086126723375	0.0332059642965415	0.0718570019647212	0.0200037673301761	0.140937173556779
freqParameter.1	3635.57742072452	0.350775803726825	0.0111947453014019	0.350629657097076	0.328589900371734	0.372581785424208
freqParameter.2	4531.77470639424	0.18742963146075	0.00933013932686822	0.187284222517998	0.169589067356935	0.20592366295939
freqParameter.3	4544.60552901984	0.224663993323589	0.00991837487363539	0.224684777246643	0.205923046708535	0.2442959068224
freqParameter.4	4624.56299578071	0.237130571488836	0.0100938661841783	0.237055147192736	0.21731064886019	0.256833038334554
BDSKY_Serial	508.698140145564	1864.99770109647	51.911960122092	1868.00820377278	1759.58058644736	1962.48814681881
origin_BDSKY_Serial	831.845466429268	0.377259149808802	0.0117398759901576	0.379021434938173	0.348232845138733	0.398460887964624
becomeUninfectiousRate_BDSKY_Serial	0	52	0	52	52	52
reproductiveNumber_BDSKY_Serial.1	6592.07555709354	0.854385586727387	0.665401100304013	0.68101971537498	0.0262617691869927	2.16551540451592
reproductiveNumber_BDSKY_Serial.2	7472.12432446224	1.11760839168384	0.73827947676112	0.971113666369607	0.0512814292555323	2.56247949396857
reproductiveNumber_BDSKY_Serial.3	4268.73770876315	1.26380500220461	0.763927545290738	1.15972484906331	0.0539268935911529	2.68507942836603
reproductiveNumber_BDSKY_Serial.4	3264.04442492761	1.17007121618551	0.661830535152729	1.08745328514692	0.0632583053747295	2.38968026681603
reproductiveNumber_BDSKY_Serial.5	2834.55868940948	1.17853860646754	0.493097341285416	1.14804662908738	0.283198712413118	2.13722581485226
reproductiveNumber_BDSKY_Serial.6	1444.32583236337	0.876908908315949	0.466377040480735	0.807773485495428	0.103758973173825	1.79757089079606
reproductiveNumber_BDSKY_Serial.7	1883.9473464208	2.087874134889	0.323717900785382	2.079023671622	1.46642851132526	2.72551208780297
reproductiveNumber_BDSKY_Serial.8	1425.15687957498	1.47041573891147	0.232018504655835	1.48081157418939	0.998195578624167	1.92449993315328
reproductiveNumber_BDSKY_Serial.9	2145.34195417138	0.7754841460484	0.154849247053838	0.768663360644894	0.482343776877886	1.08287707383698
reproductiveNumber_BDSKY_Serial.10	3144.71397527708	1.20971485613868	0.155703812258634	1.21133060792321	0.899541495560138	1.51333047613422
reproductiveNumber_BDSKY_Serial.11	4431.48887160579	0.409757374819764	0.156863808956934	0.403166472692326	0.119574277703807	0.719535859887543
reproductiveNumber_BDSKY_Serial.12	7617.70603372196	1.2920961986365	0.247294723380868	1.29127448584765	0.793561796412069	1.76083378775605
samplingProportion_BDSKY_Serial	600.45650314112	0.168446067469264	0.0350124674591103	0.166646197695347	0.101312332149467	0.23701879123268
