Variable	ESS	Mean	SD	Median	HPDLo	HPDHi
posterior	501.538107431768	-2582.77153169639	16.0837475969692	-2583.73449091057	-2613.80670063893	-2553.59507862837
likelihood	6653.44594343806	-2887.13179935658	5.77190613488936	-2886.62374156188	-2898.57646767564	-2876.41283765594
prior	381.900684033215	304.360267660189	15.6606261550568	302.94629406269	275.516896282578	332.664116744806
treeLikelihood	6653.44594343806	-2887.13179935658	5.77190613488936	-2886.62374156188	-2898.57646767564	-2876.41283765594
Tree.height	10398.6058309635	0.241286082300899	0.0212209330921538	0.240994586981931	0.204643606378404	0.281894565883702
Tree.treeLength	5881.25260598842	5.41512668296913	0.605244218737509	5.37706704334261	4.29350029863465	6.65604416922076
clockRate	11612.0105918083	0.00783160462151781	0.00110118326295279	0.0078517002213867	0.00598627269236072	0.01
gammaShape	15594.5169806475	0.613471804442608	0.649899594614792	0.397391886532586	0.1	1.8849315312905
rateAC	15599.0146697937	0.127313106684648	0.0642963748857456	0.115650246013538	0.0264316733182183	0.253788903923063
rateAG	14016.3589923834	0.69848318356788	0.195023671161904	0.672956625114403	0.352227586954733	1.08040561632454
rateAT	16273.6342449153	0.0424466638832582	0.0317259548864426	0.0345629999442777	0.000829995016376113	0.103780016643184
rateCG	5685.8775725225	0.0358224149094015	0.0409251490253402	0.0224894999995338	4.65801747380444e-50	0.116701909351768
rateGT	15816.5333578715	0.0646634901732204	0.0483644256753192	0.0529794756205117	0.00163588095068028	0.158936590735676
freqParameter.1	5405.48117001994	0.346806124036015	0.0122824795993181	0.346709026797873	0.322331261681984	0.370504702966862
freqParameter.2	6281.12941187656	0.189935049516234	0.00996586468644088	0.189795965359498	0.170904131095238	0.210016074200862
freqParameter.3	5926.19982805385	0.22826580939171	0.0108876639832427	0.228069458779944	0.207270324865743	0.250004764517842
freqParameter.4	5862.97925959462	0.234993017056041	0.0107904246813944	0.234925683954827	0.213868328874663	0.256131843569067
BDSKY_Serial	7197.22106984777	316.316392038075	11.7139859939152	316.097310072178	294.412964511373	340.183560564608
origin_BDSKY_Serial	4477.70008522767	0.284866487865661	0.0101842816434283	0.284946558811393	0.262611789846642	0.305968011063202
becomeUninfectiousRate_BDSKY_Serial	0	52	0	52	52	52
reproductiveNumber_BDSKY_Serial.1	12345.7274118781	0.831692193874273	0.745043540194795	0.592685467100929	0.0240517231411551	2.41861019734101
reproductiveNumber_BDSKY_Serial.2	5700.0907300916	1.71439510681871	1.15876843736445	1.55553752325367	0.0357551648265231	3.79832611850521
reproductiveNumber_BDSKY_Serial.3	4736.51815131135	1.90494933773034	1.03309515002327	1.85226893197147	0.113023101653459	3.71260074152514
reproductiveNumber_BDSKY_Serial.4	6034.03712644038	1.44088687413698	0.656429585111455	1.39433459699998	0.211762744848478	2.68446807300356
reproductiveNumber_BDSKY_Serial.5	10778.081626778	0.597938181682313	0.364765662993012	0.531225301601596	0.0464170457367243	1.30706551193082
reproductiveNumber_BDSKY_Serial.6	5148.10749336532	1.13107577688523	0.449362403480087	1.11444844821379	0.250328569683214	1.98196604040844
reproductiveNumber_BDSKY_Serial.7	6071.38195856619	2.76624096633566	0.327138728993944	2.76749983390867	2.12793315606428	3.4102228391548
reproductiveNumber_BDSKY_Serial.8	21953.2439642612	0.282126730501265	0.157884863378748	0.254712270589382	0.0343881872653359	0.594480304688762
samplingProportion_BDSKY_Serial	10875.553417772	0.0123774423196364	0.00535419968503071	0.0114095923926994	0.00380419537430778	0.02286991233886
