Variable	ESS	Mean	SD	Median	HPDLo	HPDHi
posterior	552.376054577548	-4201.20969731791	25.6141568518584	-4200.87337458056	-4253.24347035528	-4152.9448451255
likelihood	1099.3076652914	-5399.44332626369	13.7860770554284	-5399.16917156232	-5426.93336570159	-5372.91076848351
prior	575.69727202753	1198.23362894578	19.0772603066773	1198.2083214378	1161.83729199788	1235.1964221073
treeLikelihood	1099.3076652914	-5399.44332626369	13.7860770554284	-5399.16917156232	-5426.93336570159	-5372.91076848351
Tree.height	811.178377878791	0.523704644652924	0.011008741499275	0.524160386643023	0.50335449212268	0.54510346383862
Tree.treeLength	265.540684808856	66.9627495216572	1.97564956575007	66.8762850402197	63.3098698711635	70.8904344746238
freqParameter.1	154.733944900515	0.352705609156063	0.0084537407656197	0.356	0.330943438588947	0.356
freqParameter.2	158.310253436725	0.190766897073023	0.00196988287821257	0.19	0.19	0.195766669883367
freqParameter.3	153.950507542633	0.220856527611782	0.00220259250750738	0.22	0.22	0.226536591416803
freqParameter.4	153.92828670625	0.235670966159132	0.00429730568508172	0.234	0.234	0.246753300110883
proportionInvariant	1238.59265885438	0.250918669957597	0.12702014107607	0.254436743327003	0.018964191114296	0.473622965419264
gammaShape	1555.38509060214	1.01055870412215	0.638698801971672	0.820510617723683	0.30858793283134	2.27386306739594
ucldMean	0	0.00694	0	0.00694	0.00694	0.00694
ucldStdev	0	0.81545	0	0.81545	0.81545	0.81545
rate.mean	1689.00542587919	0.00511968043591321	0.000170755046112565	0.00511815584158638	0.00479259844294237	0.00546975618065867
rate.variance	867.175769731561	3.65748109592402e-05	5.38545409164854e-06	3.62383235395143e-05	2.60662215170421e-05	4.68232082735808e-05
rate.coefficientOfVariation	827.321564020181	0.979368435360953	0.0552102309417762	0.97831207900873	0.876679078431735	1.09025757895159
BDSKY_Serial	576.871057602402	1217.01282433416	18.982595775823	1217.03189602597	1181.00618994494	1253.90900904709
origin_BDSKY_Serial	672.354496057879	0.531639124878955	0.0097858052707531	0.531970279582405	0.513762666785294	0.54931497314015
becomeUninfectiousRate_BDSKY_Serial	0	52	0	52	52	52
reproductiveNumber_BDSKY_Serial.1	758.298131081957	1.44763354074195	0.257873250272138	1.43222246480095	0.966341271639113	1.95279150722359
reproductiveNumber_BDSKY_Serial.2	625.007652439015	1.77324528369571	0.12988821787605	1.77772584952305	1.52649800183727	2.0141071533169
reproductiveNumber_BDSKY_Serial.3	1341.109832036	0.998762383012094	0.0642854210213862	0.999074411797544	0.871769338653391	1.12124344863214
reproductiveNumber_BDSKY_Serial.4	932.992604304767	0.933658287822474	0.0565181996399059	0.93328168510713	0.828196153452151	1.0471452936026
reproductiveNumber_BDSKY_Serial.5	1296.14120962628	1.53430305676277	0.0460745508812796	1.5336806366253	1.44127921014129	1.62296745009054
reproductiveNumber_BDSKY_Serial.6	3496.30134186889	0.634235306665959	0.053198659684986	0.634512149353144	0.532076483938808	0.739701580868764
samplingProportion_BDSKY_Serial	611.711331680807	0.0058498395917296	0.00079844840467706	0.00581902895750696	0.0043341938183467	0.00743454495526478
