Variable	ESS	Mean	SD	Median	HPDLo	HPDHi
posterior	1632.6265057559	-2587.21485646934	13.6205226419513	-2586.82334823062	-2613.74259205285	-2561.41635145667
likelihood	8616.45538446642	-2890.9978722493	5.88736193648129	-2890.49483689277	-2902.65081925256	-2880.01712250786
prior	1462.62220080184	303.783015779964	13.4288357886973	303.798054789784	276.962159833516	328.475542557841
treeLikelihood	8616.45538446642	-2890.9978722493	5.88736193648129	-2890.49483689277	-2902.65081925256	-2880.01712250786
Tree.height	3350.77216771626	0.20902847810854	0.011838958801334	0.206801363449317	0.194521087270639	0.228381004376493
Tree.treeLength	5250.87489584081	5.01532521160472	0.54403501443976	5.01815717416549	3.90400776024613	6.07277739173783
clockRate	11450.1800374833	0.00827228159694779	0.00102754984435551	0.00834277866133445	0.00646888033861562	0.01
gammaShape	15884.8109468041	0.614306513702242	0.637038407609466	0.393823693277801	0.1	1.86295152443395
rateAC	15554.4103683507	0.126439122507206	0.0636253804647291	0.11459866280012	0.0252828528580706	0.253757718164774
rateAG	13382.7817767731	0.697111826491118	0.193681428659964	0.669410513616143	0.364480385679142	1.0949717949243
rateAT	16396.910924696	0.0426306508254203	0.0315828395760018	0.0348743513307451	0.000689165995378589	0.104464047929077
rateCG	12354.6162866403	0.0376715210962997	0.0404791267311822	0.0253304683182257	1.04176098044336e-41	0.116725306724421
rateGT	16353.7834806138	0.064651344488914	0.047771384334965	0.0531463965246362	0.00170423959262028	0.157967990089896
freqParameter.1	5127.23113526594	0.346155561723963	0.0118358000933762	0.345999044810013	0.323330911460253	0.369562793721194
freqParameter.2	5736.91549576045	0.190210686412157	0.00975785181304738	0.189957396688723	0.171685512044849	0.209725987936074
freqParameter.3	5165.29153871682	0.228506686563098	0.0103305538210162	0.228473061909468	0.209035453129774	0.24966543177032
freqParameter.4	5348.80144163662	0.235127065300782	0.0106864100618621	0.234894849135882	0.213711285025266	0.255147401272319
BDSKY_Serial	4771.43325095436	312.377388196974	12.3435409039118	312.840940034637	287.937486761426	336.0059335692
origin_BDSKY_Serial	3058.27741449129	0.2152171956195	0.0224334849035905	0.211295905264299	0.195066978833015	0.23660193257137
becomeUninfectiousRate_BDSKY_Serial	0	52	0	52	52	52
reproductiveNumber_BDSKY_Serial.1	6540.87044474318	2.58738526828576	0.537144071691009	2.60091842904573	1.66481806723819	3.72874024076828
reproductiveNumber_BDSKY_Serial.2	6307.92963982083	0.526598285034072	0.296846368088691	0.481063786322864	0.0556340369912882	1.04101897893624
reproductiveNumber_BDSKY_Serial.3	6713.95727437062	2.05405136307387	0.27307805535789	2.06850618328541	1.53215167558597	2.57575089867163
reproductiveNumber_BDSKY_Serial.4	9166.82317258391	1.09767753436533	0.175253640585138	1.09548182617869	0.749809856823086	1.44320267347204
samplingProportion_BDSKY_Serial	8047.73707719985	0.0197970261093918	0.00978601463176713	0.0176474775915753	0.00511979199129495	0.038837307203461
