StartClade	EndClade	response	lower.HPD	upper.HPD
22.23	J.2	0.149083202169157	0.136726308611197	0.161128344954594
24	J.2	0.103813360311671	0.0936361295463133	0.114765707820523
25.26	J.2	0.0842610972360318	0.0746832862519535	0.0939974258451915
26	J.2	0.00753428523044953	0.00545785619444713	0.00970479973114186
22.23	J.2.1	0.167487815841335	0.128690248339779	0.20594983821111
24	J.2.1	0.11198491303493	0.080616054816157	0.147339319531091
25.26	J.2.1	0.111530450732506	0.0812436533408966	0.146099478794833
26	J.2.1	0.111777836218943	0.0797199542365787	0.144453165028241
22.23	J.2.2	0.176106057222573	0.164989880806166	0.186844733681485
24	J.2.2	0.120469480222833	0.111097635547649	0.129567968678931
25.26	J.2.2	0.102363843576746	0.0935073088237561	0.110645554297768
26	J.2.2	0.120653793545236	0.111640670194455	0.129826463100634
22.23	J.2.3	0.163415745304561	0.147955147351562	0.179015196595768
24	J.2.3	0.106863347348937	0.0935046666881903	0.119403882731947
25.26	J.2.3	0.0782259546637659	0.0671748133765128	0.0898788782310461
26	J.2.3	0.109089765099935	0.0960000580519456	0.122315083192383
22.23	J.2.4	0.189840260984423	0.183464949631674	0.196488198769159
24	J.2.4	0.135055360051255	0.129391881919214	0.140552332269648
25.26	J.2.4	0.134979213473186	0.129624261772714	0.140698028099347
26	J.2.4	0.00173761139112818	0.00146852159649905	0.00203673059235957
22.23	J.2.5	0.16819249119841	0.152324936921221	0.184057481678597
24	J.2.5	0.112996192092427	0.0998887113468756	0.126483556794269
25.26	J.2.5	0.0557972542472701	0.0458485166709069	0.0649412151756347
26	J.2.5	0.114175435418121	0.101076389188934	0.127256584802578
22.23	K	0.225382334194934	0.223335316660738	0.227535496985652
24	K	0.170183990580222	0.168238279820863	0.172052472048422
25.26	K	0.169873454368232	0.167955336720885	0.171737773801949
26	K	0.0781374448853029	0.0767820606278909	0.0795187564552832
